Date,Location,Region,24K,22K,18K,Currency,INR_Equivalent,Exchange_price,,https://www.livepriceofgold.com/Qatar-gold-price.html
18-05-2025,Hyderabad,India,9513,8720,7135,INR,0,0,,
18-05-2025,Saudi Arabia,Gulf,386.37,354.68,289.77,SAR,8079.61,22.79,,
18-05-2025,UAE,Gulf,378.36,347.34,283.77,AED,8086.08,23.29,,
18-05-2025,Qatar,Gulf,375.45,344.66,281.59,QAR,8044.36,23.03,,
18-05-2025,Kuwait,Gulf,31.69,29.09,23.76,KWD,8083.24,278.12,,
18-05-2025,Oman,Gulf,39.66,36.41,29.74,OMR,8068.82,221.86,,
18-05-2025,Bahrain,Gulf,38.83,35.65,29.13,BHD,8047.63,225.62,,
17-05-2025,Hyderabad,India,9513,8720,7135,INR,0,0,,
17-05-2025,Saudi Arabia,Gulf,386.37,354.68,289.77,SAR,8079.61,22.78,,
17-05-2025,UAE,Gulf,378.36,347.34,283.77,AED,8086.08,23.28,,
17-05-2025,Qatar,Gulf,375.45,344.66,281.59,QAR,8044.36,23.34,,
17-05-2025,Kuwait,Gulf,31.69,29.09,23.76,KWD,8083.24,277.87,,
17-05-2025,Oman,Gulf,39.66,36.41,29.74,OMR,8068.82,221.61,,
17-05-2025,Bahrain,Gulf,38.83,35.65,29.13,BHD,8047.63,225.74,,
16-05-2025,Hyderabad,India,9513,8720,7135,INR,0,0,,
16-05-2025,Saudi Arabia,Gulf,383.05,351.64,287.29,SAR,8006.84,22.77,,
16-05-2025,UAE,Gulf,375.27,344.5,281.45,AED,8050.97,23.37,,
16-05-2025,Qatar,Gulf,372.21,341.69,279.16,QAR,7975.04,23.34,,
16-05-2025,Kuwait,Gulf,31.42,28.85,23.57,KWD,8006.45,277.52,,
16-05-2025,Oman,Gulf,39.32,36.09,29.49,OMR,7992.49,221.46,,
16-05-2025,Bahrain,Gulf,38.5,35.35,28.88,BHD,7972.84,225.54,,
15-05-2025,Hyderabad,India,9393,8610,7045,INR,0,0,,
15-05-2025,Saudi Arabia,Gulf,377.19,346.26,282.89,SAR,7870.49,22.73,,
