Date	Location	Region	24K	22K	18K	Currency
08-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
08-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
08-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
08-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
07-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
07-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
07-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
07-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
06-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
06-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
06-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
06-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
05-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
05-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
05-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
05-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
04-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
04-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
04-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
04-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
03-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
03-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
03-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
03-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
02-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
02-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
02-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
02-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
01-05-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
01-05-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
01-05-2025	Vizag	India	9573.00	8775.00	7180.00	INR
01-05-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
30-04-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
30-04-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
30-04-2025	Vizag	India	9573.00	8775.00	7180.00	INR
30-04-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
29-04-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
29-04-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
29-04-2025	Vizag	India	9573.00	8775.00	7180.00	INR
29-04-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
28-04-2025	Hyderabad	India	9550.00	8755.00	7180.00	INR
28-04-2025	Vijayawada	India	9846.00	9025.00	7384.00	INR
28-04-2025	Vizag	India	9573.00	8775.00	7180.00	INR
28-04-2025	Tirupati	India	9847.00	9026.00	7385.00	INR
08-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
08-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
08-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
08-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
08-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
08-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
07-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
07-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
07-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
07-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
07-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
07-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
06-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
06-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
06-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
06-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
06-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
06-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
05-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
05-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
05-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
05-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
05-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
05-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
04-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
04-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
04-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
04-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
04-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
04-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
03-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
03-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
03-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
03-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
03-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
03-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
02-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
02-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
02-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
02-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
02-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
02-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
01-05-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
01-05-2025	UAE	Gulf	401.989	368.643	301.73	AED
01-05-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
01-05-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
01-05-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
01-05-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
30-04-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
30-04-2025	UAE	Gulf	401.989	368.643	301.73	AED
30-04-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
30-04-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
30-04-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
30-04-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
29-04-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
29-04-2025	UAE	Gulf	401.989	368.643	301.73	AED
29-04-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
29-04-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
29-04-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
29-04-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
28-04-2025	Saudi Arabia	Gulf	410.832	376.683	308.14	SAR
28-04-2025	UAE	Gulf	401.989	368.643	301.73	AED
28-04-2025	Qatar	Gulf	399.378	366.065	299.46	QAR
28-04-2025	Kuwait	Gulf	33.5987	30.7926	25.2	KWD
28-04-2025	Oman	Gulf	42.1504	38.6439	31.61	OMR
28-04-2025	Bahrain	Gulf	41.1805	37.7481	30.9	BHD
